epoch,time_completed,mse,mae,r_2
1,2019-07-25 19:53:29,710856491.7401776,11404.160576081,-0.1646928045333993
2,2019-07-25 19:53:29,744286568.4302967,12315.581804766824,-0.21946584273224357
3,2019-07-25 19:53:29,747828877.1234705,12467.912686469626,-0.22526968850746631
4,2019-07-25 19:53:29,738662210.0502143,12224.434602857595,-0.21025069197887158
5,2019-07-25 19:53:30,725622757.9714435,11932.910356376076,-0.1888863854167624
6,2019-07-25 19:53:30,713571473.7863873,11632.418558622454,-0.16914112861906228
7,2019-07-25 19:53:30,704881051.9309819,11436.671635913657,-0.15490242935843845
8,2019-07-25 19:53:30,697159633.9353975,11241.4469122227,-0.1422513808208683
9,2019-07-25 19:53:30,691450371.609536,11108.396093499174,-0.13289712039363843
10,2019-07-25 19:53:30,687709594.7847697,11022.798576607593,-0.12676809730417493
11,2019-07-25 19:53:30,686020891.3661644,10927.1209276435,-0.12400126497796826
12,2019-07-25 19:53:30,674291557.0582838,10741.531366901234,-0.10478350242098178
13,2019-07-25 19:53:30,676544976.9822057,10740.990452083613,-0.10847558654974754
14,2019-07-25 19:53:30,674278730.2412478,10697.023022756051,-0.10476248650330966
15,2019-07-25 19:53:31,669661683.7514151,10609.8497685866,-0.0971977517257736
16,2019-07-25 19:53:31,674479012.4984083,10705.23488555285,-0.10509063614603109
17,2019-07-25 19:53:31,666881243.883343,10539.615470076655,-0.09264217919403239
18,2019-07-25 19:53:31,669569307.506656,10584.882559335194,-0.09704639916892033
19,2019-07-25 19:53:31,671204560.5070733,10635.270715105149,-0.09972565641044207
20,2019-07-25 19:53:31,666675058.6397988,10556.88686875341,-0.09230435788643088
